MarkedCrystal_ID,CrystalPlate_Barcode,CrystalPlate_Well,CrystalPlate_Subwell
CI070367-A01c,CI070367,A01,c
CI070367-A02d,CI070367,A02,d
CI070367-A02a,CI070367,A02,a
CI070367-A02c,CI070367,A02,c
CI070367-A03a,CI070367,A03,a
CI070367-A03c,CI070367,A03,c
CI070367-A03d,CI070367,A03,d
CI070367-A04a,CI070367,A04,a
CI070367-A05a,CI070367,A05,a
CI070367-A05c,CI070367,A05,c
CI070367-A05d,CI070367,A05,d
CI070367-A06a,CI070367,A06,a
CI070367-A06c,CI070367,A06,c
CI070367-A07c,CI070367,A07,c
CI070367-A07d,CI070367,A07,d
CI070367-A08a,CI070367,A08,a
CI070367-A08c,CI070367,A08,c
CI070367-A08d,CI070367,A08,d
CI070367-A09a,CI070367,A09,a
CI070367-A09d,CI070367,A09,d
CI070367-A10a,CI070367,A10,a
CI070367-A10c,CI070367,A10,c
CI070367-A10d,CI070367,A10,d
CI070367-A11a,CI070367,A11,a
CI070367-A11c,CI070367,A11,c
CI070367-A11d,CI070367,A11,d
CI070367-A12a,CI070367,A12,a
CI070367-A12c,CI070367,A12,c
CI070367-A12d,CI070367,A12,d
CI070367-B01a,CI070367,B01,a
CI070367-B01c,CI070367,B01,c
CI070367-B04a,CI070367,B04,a
CI070367-B04c,CI070367,B04,c
CI070367-B04d,CI070367,B04,d
CI070367-B05a,CI070367,B05,a
CI070367-B05c,CI070367,B05,c
CI070367-B05d,CI070367,B05,d
CI070367-B06a,CI070367,B06,a
CI070367-B06c,CI070367,B06,c
CI070367-B06d,CI070367,B06,d
CI070367-B09a,CI070367,B09,a
CI070367-B09c,CI070367,B09,c
CI070367-B09d,CI070367,B09,d
CI070367-B10a,CI070367,B10,a
CI070367-B10c,CI070367,B10,c
CI070367-B10d,CI070367,B10,d
CI070367-C01a,CI070367,C01,a
CI070367-C01c,CI070367,C01,c
CI070367-C01d,CI070367,C01,d
CI070367-C02a,CI070367,C02,a
CI070367-C02c,CI070367,C02,c
CI070367-C02d,CI070367,C02,d
CI070367-C03a,CI070367,C03,a
CI070367-C03c,CI070367,C03,c
CI070367-C03d,CI070367,C03,d
CI070367-C04a,CI070367,C04,a
CI070367-C04c,CI070367,C04,c
CI070367-C08a,CI070367,C08,a
CI070367-C08c,CI070367,C08,c
CI070367-C08d,CI070367,C08,d
CI070367-C09a,CI070367,C09,a
CI070367-C09c,CI070367,C09,c
CI070367-C12d,CI070367,C12,d
CI070367-D01a,CI070367,D01,a
CI070367-D01c,CI070367,D01,c
CI070367-D01d,CI070367,D01,d
CI070367-D02a,CI070367,D02,a
CI070367-D02c,CI070367,D02,c
CI070367-D02d,CI070367,D02,d
CI070367-D03a,CI070367,D03,a
CI070367-D03c,CI070367,D03,c
CI070367-D04c,CI070367,D04,c
CI071840-A02d,CI071840,A02,d
CI071840-A03a,CI071840,A03,a
CI071840-A03c,CI071840,A03,c
CI071840-A03d,CI071840,A03,d
CI071840-A04a,CI071840,A04,a
CI071840-A04c,CI071840,A04,c
CI071840-A04d,CI071840,A04,d
CI071840-A05a,CI071840,A05,a
CI071840-A05c,CI071840,A05,c
CI071840-A05d,CI071840,A05,d
CI071840-A06a,CI071840,A06,a
CI071840-A06c,CI071840,A06,c
CI071840-A06d,CI071840,A06,d
CI071840-A07a,CI071840,A07,a
CI071840-A07c,CI071840,A07,c
CI071840-A07d,CI071840,A07,d
CI071840-A08a,CI071840,A08,a
CI071840-A08c,CI071840,A08,c
CI071840-A08d,CI071840,A08,d
CI071840-A09a,CI071840,A09,a
CI071840-A09c,CI071840,A09,c
CI071840-A09d,CI071840,A09,d
CI071840-A10a,CI071840,A10,a
CI071840-A10c,CI071840,A10,c
CI071840-A10d,CI071840,A10,d
CI071840-B01d,CI071840,B01,d
CI071840-B02a,CI071840,B02,a
CI071840-B02c,CI071840,B02,c
CI071840-B02d,CI071840,B02,d
CI071840-B03a,CI071840,B03,a
CI071840-B03c,CI071840,B03,c
CI071840-B03d,CI071840,B03,d
CI071840-B04a,CI071840,B04,a
CI071840-B04c,CI071840,B04,c
CI071840-B04d,CI071840,B04,d
CI071840-B05a,CI071840,B05,a
CI071840-B05c,CI071840,B05,c
CI071840-B05d,CI071840,B05,d
CI071840-B06a,CI071840,B06,a
CI071840-B06c,CI071840,B06,c
CI071840-B06d,CI071840,B06,d
CI071840-B07a,CI071840,B07,a
CI071840-B07c,CI071840,B07,c
CI071840-B07d,CI071840,B07,d
CI071840-B08a,CI071840,B08,a
CI071840-B08c,CI071840,B08,c
CI071840-B09c,CI071840,B09,c
CI071840-B09d,CI071840,B09,d
CI071840-B10a,CI071840,B10,a
CI071840-B10c,CI071840,B10,c
CI071840-B10d,CI071840,B10,d
CI071840-B11a,CI071840,B11,a
CI071840-B11c,CI071840,B11,c
CI070367-A07a,CI070367,A07,a
CI070367-B12a,CI070367,B12,a
CI070367-B12c,CI070367,B12,c
CI070367-B12d,CI070367,B12,d
CI070367-C07a,CI070367,C07,a
CI070367-C07c,CI070367,C07,c
CI070367-C07d,CI070367,C07,d
CI070367-D11c,CI070367,D11,c
CI070367-D11d,CI070367,D11,d
CI070367-D12a,CI070367,D12,a
CI070367-D12c,CI070367,D12,c
CI070367-D12d,CI070367,D12,d
CI070367-E01a,CI070367,E01,a
CI070367-E01c,CI070367,E01,c
CI070367-E01d,CI070367,E01,d
CI070367-E02a,CI070367,E02,a
CI070367-E02c,CI070367,E02,c
CI070367-E02d,CI070367,E02,d
CI070367-E03a,CI070367,E03,a
CI070367-E03c,CI070367,E03,c
